Specimen properties : Specimen label,"sample1"
Specimen properties : Diameter,"0.39900",mm
Specimen properties : Length,"14.33000",mm
Test : Rate 1,"5.00000",mm/min
Test : Start of hold value,"0.05000",mm/mm
Test : Delta,"180.00000",s

Extension,Load,Tensile stress,Time,PIP count,Tenacity,Tensile extension,Tensile strain (Extension)
(mm),(N),(MPa),(s),,(N/tex),(mm),(mm/mm)
"0.71667","1.85781","14.85819","26.09600","0.00000","1.85781","0.71667","0.05001"
"0.71667","1.85172","14.80946","26.19600","0.00000","1.85172","0.71667","0.05001"
"0.71667","1.85042","14.79907","26.29600","0.00000","1.85042","0.71667","0.05001"
"0.71667","1.84196","14.73140","26.39600","0.00000","1.84196","0.71667","0.05001"
"0.71667","1.84145","14.72735","26.49600","0.00000","1.84145","0.71667","0.05001"
"0.71667","1.84243","14.73521","26.59600","0.00000","1.84243","0.71667","0.05001"
"0.71667","1.84800","14.77975","26.69600","0.00000","1.84800","0.71667","0.05001"
"0.71667","1.83986","14.71461","26.79600","0.00000","1.83986","0.71667","0.05001"
"0.71667","1.83714","14.69289","26.89600","0.00000","1.83714","0.71667","0.05001"
"0.71667","1.83849","14.70364","26.99600","0.00000","1.83849","0.71667","0.05001"
"0.71667","1.84505","14.75610","27.09600","0.00000","1.84505","0.71667","0.05001"
"0.71667","1.83770","14.69736","27.19600","0.00000","1.83770","0.71667","0.05001"
"0.71667","1.84405","14.74815","27.29600","0.00000","1.84405","0.71667","0.05001"
"0.71667","1.83708","14.69235","27.39600","0.00000","1.83708","0.71667","0.05001"
"0.71667","1.82995","14.63536","27.49600","0.00000","1.82995","0.71667","0.05001"
"0.71667","1.83264","14.65690","27.59600","0.00000","1.83264","0.71667","0.05001"
"0.71667","1.83753","14.69595","27.69600","0.00000","1.83753","0.71667","0.05001"
"0.71667","1.83340","14.66295","27.79600","0.00000","1.83340","0.71667","0.05001"
"0.71667","1.83104","14.64411","27.89600","0.00000","1.83104","0.71667","0.05001"
"0.71646","1.82406","14.58830","27.99600","0.00000","1.82406","0.71646","0.05000"
"0.71646","1.82251","14.57586","28.09600","0.00000","1.82251","0.71646","0.05000"
"0.71646","1.82631","14.60627","28.19600","0.00000","1.82631","0.71646","0.05000"
"0.71646","1.82549","14.59972","28.29600","0.00000","1.82549","0.71646","0.05000"
"0.71646","1.82053","14.56001","28.39600","0.00000","1.82053","0.71646","0.05000"
"0.71646","1.82698","14.61163","28.49600","0.00000","1.82698","0.71646","0.05000"
